staging_id,name_raw,region,programs,previous_category_decision,new_category_decision,evidence_type,evidence,research_note
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",
79370ccb-3f09-426f-bdc7-bc6ac9055345,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,Ouest,Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,AUTRES_CONFIRMED,OFFICIAL_INSTITUTION_SITE_SUB_BAC_ENTRY_LEVEL,"Page officielle de l'établissement (epssmeno.com, récupérée ce sprint) : admission explicitement ""Niveau BEPC""/""Niveau BAC"" (entrée pré-bac, jamais post-bac), filières nommées ""Aides soignants-généralistes"" et ""Techniciens principaux médico-sanitaires"" — désignations techniques/vocationnelles explicites, aucune mention d'""enseignement supérieur"" sur le site.",
b92dd780-b05c-4b47-aaa4-e6d0b6783778,"COMPLEXE PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES ""FONDATION TSOPJIO ET TAKOUDJOU"" DE DSCHANG",Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,AUTRES_CONFIRMED,OFFICIAL_MINSANTE_CREATION_DECISION_NON_HIGHER_ED,"Page officielle de l'établissement (ftt-dschang.cm/a-propos, récupérée ce sprint) : création par DECISION N°0344/D/MINSANTE/SG/DRH DU 28/04/2010 du Ministre de la Santé Publique (acte MINSANTE-DRH, jamais un acte MINESUP de création d'enseignement supérieur) — aucune mention d'""enseignement supérieur"", établissement explicitement positionné comme complexe de formation technique/vocationnelle des personnels médico-sanitaires. Corroboré indépendamment par kamerpower.com (annuaire, jamais utilisé seul comme autorité) qui liste le même établissement sous le même nom exact, même commune (Dschang).",
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",
265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,Ouest,Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,Ouest,Infirmiers,CATEGORY_REVIEW,AUTRES_CONFIRMED,OFFICIAL_CYCLE_DIPLOMA_NAME_IN_TITLE,"Titre officiel MINSANTE contient la désignation explicite du diplôme d'État ""Infirmier(s) Diplômé(s) d'État"" — diplôme de cycle B (Décret 80/198), formation non-supérieure reconnue, auto-déclarée dans le nom officiel lui-même (même standard de preuve que la Règle 1, appliqué symétriquement).",
68c3cd5b-de66-4f3c-9c3c-fdbdaad7f54c,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,Ouest,Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.","Recherché (COFPSAROMA Baleng) — présence web confirmée (univ-jeuguevou.com/cofpsaroma), programmes courts type ""délégué médical/secrétariat médical"" listés, mais récupération directe de la page échouée (erreur SSL) et aucune mention explicite de niveau (supérieur ni technique) obtenue de façon fiable. CATEGORY_REVIEW maintenu — pas de preuve suffisante."
3c04b5c8-4a6d-4ad8-b625-bda87186c800,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,Ouest,Analyses Médicales,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.","Recherché (Complexe Mbouo Bandjoun) — établissement identifié (cpfmbouocmr.org, ""depuis 1981""), mais récupération directe de la page renvoie HTTP 403 (accès refusé) — aucune preuve de niveau vérifiable obtenue ce sprint. CATEGORY_REVIEW maintenu."
8bf90bbd-3520-4f16-8cd7-e708892473bd,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,Ouest,Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.","Recherché (Complexe Mbouda) — un ""Complexe Privé de Formation du Personnel Médicosanitaire Fondation Monga de Mbouda"" existe (agréé 2012, cycle infirmiers diplômés d'État), mais son nom officiel diffère du nom MINSANTE staging (""...DE MBOUDA"" sans ""Fondation Monga"") — identité NON confirmée avec certitude suffisante pour appliquer cette preuve à cette ligne précise (§16 : jamais une preuve externe appliquée sans identité confirmée). CATEGORY_REVIEW maintenu, piste à vérifier humainement pour un futur sprint."
ba827d94-6542-40fd-b811-a0d964a8bceb,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,Ouest,Infirmiers,CATEGORY_REVIEW,AUTRES_CONFIRMED,OFFICIAL_CYCLE_DIPLOMA_NAME_IN_TITLE,"Titre officiel MINSANTE contient la désignation explicite du diplôme d'État ""Infirmier(s) Diplômé(s) d'État"" — diplôme de cycle B (Décret 80/198), formation non-supérieure reconnue, auto-déclarée dans le nom officiel lui-même (même standard de preuve que la Règle 1, appliqué symétriquement).",
92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,Ouest,Analyses Médicales,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.","Recherché (EPS Les Étoiles Bafoussam) — site officiel identifié (eps-lesetoiles.com, formation ""Techniciens/Techniciens Adjoints"" en analyses médicales), mais récupération directe de la page a échoué (résolution DNS) — contenu non vérifié directement, seul un résumé de recherche indirect disponible, insuffisant comme preuve primaire ce sprint. CATEGORY_REVIEW maintenu."
273f8980-4983-4ae8-b3c1-8b1036dfd43d,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,Ouest,Analyses Médicales | Infirmiers | Odontostomatologie | Sages-femmes/Maïeuticiens,HEALTH_TRAINING_HIGHER_ED,SUPERIEUR_CONFIRMED,EXPLICIT_LEVEL_WORD_IN_OFFICIAL_TITLE,Titre officiel MINSANTE contient un mot de niveau explicite (supérieur/universitaire/université/faculté) — auto-déclaré par l'établissement lui-même dans son nom officiel.,
276633af-df10-4d1e-b91e-596c7a50ed34,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,Ouest,Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",
0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,Ouest,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.",Recherché (École Privée de Formation du Personnel de la Santé de Bafoussam) — nom trop générique pour isoler une source officielle fiable parmi les nombreux établissements homonymes de Bafoussam recherchés ce sprint ; aucune preuve de niveau trouvée. CATEGORY_REVIEW maintenu.
27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",Ouest,Infirmiers,CATEGORY_REVIEW,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée.","Recherché (Institut Tropical ""Moullec"" Baleveng, plaies chroniques) — seule mention indirecte trouvée (résumé de conférence CICA 2025 citant un ""hôpital des plaies de Baleveng"", établissement de SOINS distinct de l'école elle-même) — aucune preuve de niveau de l'école trouvée. CATEGORY_REVIEW maintenu."
